"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: isDijkstra"
"benchmark.pathfinderbenchmark.PathfinderBenchmark.mediumPath","avgt",1,20,"13058619,151507","690235,341339","ns/op",true
"benchmark.pathfinderbenchmark.PathfinderBenchmark.mediumPath","avgt",1,20,"1833858,508947","28799,867193","ns/op",false
