"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: isDijkstra"
"benchmark.pathfinderbenchmark.PathfinderBenchmark.longPath","avgt",1,20,"49,524387","7,358185","ms/op",true
"benchmark.pathfinderbenchmark.PathfinderBenchmark.longPath","avgt",1,20,"14,213575","0,562055","ms/op",false
