"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: max","Param: zoom"
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,61.042439,1.032460,"ms/op",5,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,80.938057,2.257979,"ms/op",5,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,43.750716,0.203487,"ms/op",15,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,45.844274,7.832240,"ms/op",15,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,64.887615,5.328630,"ms/op",15,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,42.056907,0.575711,"ms/op",30,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,42.782508,0.404244,"ms/op",30,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,62.083427,0.775005,"ms/op",30,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,46.476371,4.738835,"ms/op",60,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,46.928744,1.959913,"ms/op",60,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,64.114677,3.321583,"ms/op",60,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,56.235573,10.889749,"ms/op",120,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,60.421697,0.783976,"ms/op",120,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,81.108407,0.849292,"ms/op",120,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,36.054690,0.735802,"ms/op",240,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,36.494465,1.159277,"ms/op",240,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.getNearestNode_townViewport","avgt",1,5,53.658192,2.992928,"ms/op",240,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,53.809535,1.180070,"ms/op",5,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,53.933726,1.493641,"ms/op",5,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,57.930405,1.581031,"ms/op",5,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,39.358682,1.920370,"ms/op",15,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,41.213512,0.820024,"ms/op",15,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,43.326920,1.609543,"ms/op",15,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,38.604194,1.290238,"ms/op",30,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,39.264275,1.165660,"ms/op",30,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,40.692951,0.699035,"ms/op",30,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,48.536997,3.215477,"ms/op",60,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,49.007365,3.458468,"ms/op",60,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,49.757030,4.313224,"ms/op",60,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,48.418487,3.597552,"ms/op",120,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,48.542752,3.943792,"ms/op",120,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,49.882206,1.252142,"ms/op",120,15.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,36.276213,0.767896,"ms/op",240,11.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,36.919938,7.177100,"ms/op",240,13.0
"benchmark.TreeBenchmark.TreeMaxBenchmark.searchFullIsland","avgt",1,5,38.554470,1.788398,"ms/op",240,15.0
