"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmark.binaryBenchmark.BinaryBenchmark.loadFromBinary","avgt",1,10,0.964808,0.037912,"s/op"
"benchmark.binaryBenchmark.BinaryBenchmark.loadFromOsm","avgt",1,10,26.712191,1.453727,"s/op"
